present_only_in,event_idx,contingency,row_count,gpu_converged,gpu_status_code,cpu_converged,cpu_status_code
gpu,236,BR_11141_11207_1,2121,True,OK,True,OK
gpu,237,BR_11142_11146_1,2121,True,OK,True,OK
gpu,238,BR_11142_11147_1,2121,True,OK,True,OK
gpu,239,BR_11143_11205_1,2121,True,OK,True,OK
gpu,240,BR_11475_11148_1,2121,True,OK,True,OK
gpu,241,BR_11149_11175_1,2121,True,OK,True,OK
gpu,242,BR_11219_11149_1,2121,True,OK,True,OK
gpu,243,BR_11151_11153_1,2121,True,OK,True,OK
gpu,244,BR_11159_11151_1,2121,True,OK,True,OK
gpu,245,BR_11152_11156_1,2121,True,OK,True,OK
gpu,246,BR_11292_11152_1,2121,True,OK,True,OK
gpu,247,BR_11154_11155_1,2121,True,OK,True,OK
gpu,249,BR_11154_11157_1,2121,True,OK,True,OK
gpu,250,BR_11156_11454_1,2121,True,OK,True,OK
gpu,251,BR_11158_19305_1,2121,True,OK,True,OK
gpu,252,BR_11159_11161_1,2121,True,OK,True,OK
gpu,253,BR_11162_11159_1,2121,True,OK,True,OK
gpu,254,BR_11191_11159_1,2121,True,OK,True,OK
gpu,255,BR_11179_11160_1,2121,True,OK,True,OK
gpu,256,BR_11234_11160_1,2121,True,OK,True,OK
gpu,257,BR_11162_11164_1,2121,True,OK,True,OK
gpu,258,BR_11162_11191_1,2121,True,OK,True,OK
gpu,259,BR_11163_11179_1,2121,True,OK,True,OK
gpu,260,BR_11165_11166_1,2121,True,OK,True,OK
gpu,262,BR_11169_11167_1,2121,True,OK,True,OK
gpu,263,BR_11169_11167_2,2121,True,OK,True,OK
gpu,264,BR_11169_11167_3,2121,True,OK,True,OK
gpu,265,BR_11167_11176_1,2121,True,OK,True,OK
gpu,266,BR_11167_11226_1,2121,True,OK,True,OK
gpu,267,BR_11168_11172_1,2121,True,OK,True,OK
gpu,268,BR_11168_11173_1,2121,True,OK,True,OK
gpu,269,BR_11168_11175_1,2121,True,OK,True,OK
gpu,270,BR_11169_11176_1,2121,True,OK,True,OK
gpu,271,BR_11169_11176_2,2121,True,OK,True,OK
gpu,272,BR_11169_11176_3,2121,True,OK,True,OK
gpu,273,BR_11169_11190_1,2121,True,OK,True,OK
gpu,274,BR_11169_11225_1,2121,True,OK,True,OK
gpu,275,BR_11169_11295_1,2121,True,OK,True,OK
gpu,276,BR_11328_11169_1,2121,True,OK,True,OK
gpu,277,BR_11175_11173_1,2121,True,OK,True,OK
gpu,278,BR_33236_11173_1,2121,True,OK,True,OK
gpu,279,BR_11174_11177_1,2121,True,OK,True,OK
gpu,281,BR_11176_11225_1,2121,True,OK,True,OK
gpu,282,BR_11178_11426_1,2121,True,OK,True,OK
gpu,284,BR_11180_11182_1,2121,True,OK,True,OK
gpu,285,BR_11181_11424_1,2121,True,OK,True,OK
gpu,286,BR_11183_11184_1,2121,True,OK,True,OK
gpu,287,BR_11184_11224_1,2121,True,OK,True,OK
gpu,288,BR_11184_11224_2,2121,True,OK,True,OK
gpu,289,BR_11184_11369_1,2121,True,OK,True,OK
gpu,290,BR_11185_11186_1,2121,True,OK,True,OK
gpu,291,BR_11199_11185_1,2121,True,OK,True,OK
gpu,292,BR_11185_11460_1,2121,True,OK,True,OK
gpu,293,BR_11187_11188_1,2121,True,OK,True,OK
gpu,294,BR_11187_11228_1,2121,True,OK,True,OK
gpu,295,BR_11187_33234_1,2121,True,OK,True,OK
gpu,296,BR_11189_11190_1,2121,True,OK,True,OK
gpu,297,BR_11190_11213_1,2121,True,OK,True,OK
gpu,298,BR_11191_11192_1,2121,True,OK,True,OK
gpu,299,BR_11193_11194_1,2121,True,OK,True,OK
gpu,300,BR_11420_11193_1,2121,True,OK,True,OK
gpu,301,BR_11482_11193_1,2121,True,OK,True,OK
gpu,302,BR_11195_11196_1,2121,True,OK,True,OK
gpu,304,BR_11197_11486_1,2121,True,OK,True,OK
gpu,305,BR_11198_11202_1,2121,True,OK,True,OK
gpu,306,BR_11198_11379_1,2121,True,OK,True,OK
gpu,307,BR_11463_11198_1,2121,True,OK,True,OK
gpu,308,BR_11222_11199_1,2121,True,OK,True,OK
gpu,309,BR_11203_11204_1,2121,True,OK,True,OK
gpu,310,BR_11203_11210_1,2121,True,OK,True,OK
gpu,311,BR_11237_11203_1,2121,True,OK,True,OK
gpu,312,BR_11203_11463_1,2121,True,OK,True,OK
gpu,313,BR_11205_11206_1,2121,True,OK,True,OK
gpu,314,BR_11240_11205_1,2121,True,OK,True,OK
gpu,315,BR_11205_11349_1,2121,True,OK,True,OK
gpu,316,BR_11205_11349_2,2121,True,OK,True,OK
gpu,317,BR_11207_11208_1,2121,True,OK,True,OK
gpu,318,BR_11240_11207_1,2121,True,OK,True,OK
gpu,319,BR_11207_11331_1,2121,True,OK,True,OK
gpu,320,BR_11207_11331_2,2121,True,OK,True,OK
gpu,321,BR_11207_11398_1,2121,True,OK,True,OK
gpu,322,BR_11209_11222_1,2121,True,OK,True,OK
gpu,323,BR_33248_11209_1,2121,True,OK,True,OK
gpu,324,BR_33231_11210_1,2121,True,OK,True,OK
gpu,325,BR_11211_11212_1,2121,True,OK,True,OK
gpu,327,BR_11213_11214_1,2121,True,OK,True,OK
gpu,328,BR_11213_11458_1,2121,True,OK,True,OK
gpu,329,BR_11214_11215_1,2121,True,OK,True,OK
gpu,330,BR_11214_11458_1,2121,True,OK,True,OK
gpu,331,BR_11216_11217_1,2121,True,OK,True,OK
gpu,333,BR_11219_11220_1,2121,True,OK,True,OK
gpu,334,BR_11221_11222_1,2121,True,OK,True,OK
gpu,335,BR_11223_11224_1,2121,True,OK,True,OK
gpu,336,BR_11439_11224_1,2121,True,OK,True,OK
gpu,337,BR_11439_11224_2,2121,True,OK,True,OK
gpu,338,BR_11439_11224_3,2121,True,OK,True,OK
gpu,339,BR_11226_11225_1,2121,True,OK,True,OK
gpu,340,BR_11225_11228_1,2121,True,OK,True,OK
gpu,341,BR_11226_11228_1,2121,True,OK,True,OK
gpu,342,BR_11227_11231_1,2121,True,OK,True,OK
gpu,343,BR_11227_11232_1,2121,True,OK,True,OK
gpu,344,BR_33212_11232_1,2121,True,OK,True,OK
gpu,345,BR_11233_11236_1,2121,True,OK,True,OK
gpu,346,BR_11364_11234_1,2121,True,OK,True,OK
gpu,347,BR_11235_11237_1,2121,True,OK,True,OK
gpu,348,BR_11236_11416_1,2121,True,OK,True,OK
gpu,349,BR_11238_11460_1,2121,True,OK,True,OK
